#
# Props for the dungeon.
#
# vim: nowrap colorcolumn=0
#

# Tools props
""                     	 "hammer"               	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
"wall_e1w1_thinw"      	 "vangenite wall"       	 '╼' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1s1_thinn"      	 "vangenite wall"       	 '╽' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1s1_thins"      	 "vangenite wall"       	 '╿' 	                        -  	 0xe0f8f2 	 -        	 nay

"pipe_s1e2w2"          	 "steel pipe"           	 '╤' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1s1e2w2"        	 "steel pipe"           	 '╪' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1e2w2"          	 "steel pipe"           	 '╧' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_e2w2"            	 "steel pipe"           	 '═' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n2e2"            	 "steel pipe"           	 '╚' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_s2e1"            	 "steel pipe"           	 '╓' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_s2w1"            	 "steel pipe"           	 '╖' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_e1w1"            	 "steel pipe"           	 '─' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_s1w1"            	 "steel pipe"           	 '┐' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_s1e1"            	 "steel pipe"           	 '┌' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1w1"            	 "steel pipe"           	 '┘' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n2s2"            	 "steel pipe"           	 '║' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1s1w1"          	 "steel pipe"           	 '┤' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n2w1"            	 "steel pipe"           	 '╜' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1w2"            	 "steel pipe"           	 '╛' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1e2"            	 "steel pipe"           	 '╘' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_s1w2"            	 "steel pipe"           	 '╕' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_s1e2"            	 "steel pipe"           	 '╒' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1s1w2"          	 "steel pipe"           	 '╡' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1s1e2"          	 "steel pipe"           	 '╞' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1s1e2w2"        	 "steel pipe"           	 '╪' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1s1"            	 "steel pipe"           	 '│' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_s1e1w1"          	 "steel pipe"           	 '┬' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_s2e1w1"          	 "steel pipe"           	 '╥' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n2e1w1"          	 "steel pipe"           	 '╨' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1e1"            	 "steel pipe"           	 '└' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1s1e1"          	 "steel pipe"           	 '├' 	                        -  	 0xa6c2d4 	 -        	 nay
"pipe_n1e1w1"          	 "steel pipe"           	 '┴' 	                        -  	 0xa6c2d4 	 -        	 nay

"wire_n2s2e2w2"        	 "copper wire"          	 '╬' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s2e2"            	 "copper wire"          	 '╔' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s2w2"            	 "copper wire"          	 '╗' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2w2"            	 "copper wire"          	 '╝' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2e2"            	 "copper wire"          	 '╚' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s2e2w2"          	 "copper wire"          	 '╦' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2s2"            	 "copper wire"          	 '║' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2s2e2"          	 "copper wire"          	 '╠' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2s2w2"          	 "copper wire"          	 '╣' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2e2w2"          	 "copper wire"          	 '╩' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_e2w2"            	 "copper wire"          	 '═' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1e1c"           	 "copper wire"          	 '╰' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s1w1c"           	 "copper wire"          	 '╮' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s1e1c"           	 "copper wire"          	 '╭' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1w1c"           	 "copper wire"          	 '╯' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1e1"            	 "copper wire"          	 '└' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s1w1"            	 "copper wire"          	 '┐' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s1e1"            	 "copper wire"          	 '┌' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1w1"            	 "copper wire"          	 '┘' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s1e1w1"          	 "copper wire"          	 '┬' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1s1"            	 "copper wire"          	 '│' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1s1w1"          	 "copper wire"          	 '┤' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1s1e1"          	 "copper wire"          	 '├' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1e1w1"          	 "copper wire"          	 '┴' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_e1w1"            	 "copper wire"          	 '─' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s1e2"            	 "copper wire"          	 '╒' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1w2"            	 "copper wire"          	 '╛' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1e2"            	 "copper wire"          	 '╘' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s1w2"            	 "copper wire"          	 '╕' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1s1w2"          	 "copper wire"          	 '╡' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1s1e2"          	 "copper wire"          	 '╞' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1s1e2w2"        	 "copper wire"          	 '╪' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1s1e1w1"        	 "copper wire"          	 '┼' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2s2e1w1"        	 "copper wire"          	 '╫' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s1e2w2"          	 "copper wire"          	 '╤' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n1e2w2"          	 "copper wire"          	 '╧' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s2e1"            	 "copper wire"          	 '╓' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2e1"            	 "copper wire"          	 '╙' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s2w1"            	 "copper wire"          	 '╖' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2w1"            	 "copper wire"          	 '╜' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_s2e1w1"          	 "copper wire"          	 '╥' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2s2e1"          	 "copper wire"          	 '╟' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2s2w1"          	 "copper wire"          	 '╢' 	                        -  	 0xffe5d3 	 -        	 nay
"wire_n2e1w1"          	 "copper wire"          	 '╨' 	                        -  	 0xffe5d3 	 -        	 nay

"steel_spt_n2s2e2w2"   	 "steep support"        	 '╬' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s2e2"       	 "steep support"        	 '╔' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s2w2"       	 "steep support"        	 '╗' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2w2"       	 "steep support"        	 '╝' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2e2"       	 "steep support"        	 '╚' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s2e2w2"     	 "steep support"        	 '╦' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2s2"       	 "steep support"        	 '║' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2s2e2"     	 "steep support"        	 '╠' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2s2w2"     	 "steep support"        	 '╣' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2e2w2"     	 "steep support"        	 '╩' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_e2w2"       	 "steep support"        	 '═' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1e1c"      	 "steep support"        	 '╰' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s1w1c"      	 "steep support"        	 '╮' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s1e1c"      	 "steep support"        	 '╭' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1w1c"      	 "steep support"        	 '╯' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1e1"       	 "steep support"        	 '└' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s1w1"       	 "steep support"        	 '┐' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s1e1"       	 "steep support"        	 '┌' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1w1"       	 "steep support"        	 '┘' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s1e1w1"     	 "steep support"        	 '┬' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1s1"       	 "steep support"        	 '│' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1s1w1"     	 "steep support"        	 '┤' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1s1e1"     	 "steep support"        	 '├' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1e1w1"     	 "steep support"        	 '┴' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_e1w1"       	 "steep support"        	 '─' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s1e2"       	 "steep support"        	 '╒' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1w2"       	 "steep support"        	 '╛' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1e2"       	 "steep support"        	 '╘' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s1w2"       	 "steep support"        	 '╕' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1s1w2"     	 "steep support"        	 '╡' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1s1e2"     	 "steep support"        	 '╞' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1s1e2w2"   	 "steep support"        	 '╪' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1s1e1w1"   	 "steep support"        	 '┼' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2s2e1w1"   	 "steep support"        	 '╫' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s1e2w2"     	 "steep support"        	 '╤' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n1e2w2"     	 "steep support"        	 '╧' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s2e1"       	 "steep support"        	 '╓' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2e1"       	 "steep support"        	 '╙' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s2w1"       	 "steep support"        	 '╖' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2w1"       	 "steep support"        	 '╜' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_s2e1w1"     	 "steep support"        	 '╥' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2s2e1"     	 "steep support"        	 '╟' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2s2w1"     	 "steep support"        	 '╢' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_spt_n2e1w1"     	 "steep support"        	 '╨' 	                        -  	 0xa6c2d4 	 -        	 nay

"steel_pillar"         	 "steel pillar"         	 '◙' 	                        -  	 0xa6c2d4 	 -        	 nay
"steel_pillar_solid"   	 "steel pillar"         	 '■' 	                        -  	 0xa6c2d4 	 -        	 nay

"limestone_wall_upper" 	 "limestone wall"       	 '▀' 	                        -  	 0xffffef 	 -        	 nay
"limestone_wall_lower" 	 "limestone wall"       	 '▄' 	                        -  	 0xffffef 	 -        	 nay

"concrete_wall_upper"  	 "concrete wall"        	 '▀' 	                        -  	 0xa79f85 	 -        	 nay
"concrete_wall_lower"  	 "concrete wall"        	 '▄' 	                        -  	 0xa79f85 	 -        	 nay
"concrete_wall_lower4" 	 "concrete wall"        	 '▂' 	                        -  	 0xa79f85 	 -        	 nay
"concrete_wall_right"  	 "concrete wall"        	 '▐' 	                        -  	 0xa79f85 	 -        	 nay
"concrete_wall_left"   	 "concrete wall"        	 '▌' 	                        -  	 0xa79f85 	 -        	 nay
"concrete_wall_full"   	 "concrete wall"        	 '█' 	                        -  	 0xa79f85 	 -        	 nay

# For candles, mainly
"gold_c_wall_full"     	 "carved gold wall"     	 '█' 	                        -  	 0xeec700 	 -        	 nay
"gold_c_wall_upper"    	 "carved gold wall"     	 '▀' 	                        -  	 0xeec700 	 -        	 nay
"gold_c_wall_lower"    	 "carved gold wall"     	 '▄' 	                        -  	 0xeec700 	 -        	 nay
"gold_c_wall_left"     	 "carved gold wall"     	 '▐' 	                        -  	 0xeec700 	 -        	 nay
"gold_c_wall_right"    	 "carved gold wall"     	 '▌' 	                        -  	 0xeec700 	 -        	 nay
"gold_c_wall_block"    	 "carved gold wall"     	 '■' 	                        -  	 0xddb700 	 -        	 nay
"gold_c_slant_left"    	 "carved gold pillar"   	'\\' 	                        -  	 0xddb700 	 -        	 nay
"gold_c_slant_right"   	 "carved gold pillar"   	 '/' 	                        -  	 0xddb700 	 -        	 nay
"gold_c_wall_pltfrm"   	 "carved gold platform" 	 '■' 	                        -  	 0x442700 	 -        	   -

"left_copper_coil"     	 "half copper coil"     	 '▌' 	                        -  	 0xe99c39 	 -        	 nay
"right_copper_coil"    	 "half copper coil"     	 '▐' 	                        -  	 0xe99c39 	 -        	 nay
"lower_copper_coil"    	 "half copper coil"     	 '▄' 	                        -  	 0xe99c39 	 -        	 nay
"upper_copper_coil"    	 "half copper coil"     	 '▀' 	                        -  	 0xe99c39 	 -        	 nay
"full_copper_coil"     	 "large copper coil"    	 '█' 	                        -  	 0xe99c39 	 -        	 nay

"large_magnet"         	 "large magnet"         	 '█' 	                        -  	 0xffffff 	 -        	 nay

"item_location"        	 "mat"                  	 '░' 	                        -  	 0x989898 	 -        	 -   	 -
"workstation"          	 "workstation"          	 '░' 	                        -  	 0xffffff 	 -        	 -
"medium_sieve"         	 "medium_sieve"         	 '▒' 	                        -  	 0xffe7e7 	 -        	 nay 	 -
"gas_vent"             	 "gas vent"             	 '+' 	                        -  	 0x888888 	 -        	 -   	 -
"iron_bars"            	 "iron bars"            	 '#' 	          .S_G_Wall_Grate  	 0xeeeeee 	 -        	 nay
"iron_bars_broken"     	 "broken grate"         	 '#' 	   .S_G_Wall_Grate_Broken  	 0xeeeeee 	 -        	 yea
"titanium_bars"        	 "titanium bars"        	 '*' 	                        -  	 0xeaecef 	 -        	 nay

"undead_ash"           	 "pile of ash"          	 '%' 	                        -  	 0x8888aa 	 -        	 -  
"garbage"              	 "pile of garbage"      	 '%' 	                        -  	 0xaaaa88 	 -        	 -  

"corpse_ubetalrego"    	 "Ubetalrego Lyehuld (corpse)" 	 '%' 	                        -  	 0x8888aa 	 -        	 -  
"corpse_myalbaren"     	 "Myalbaren Dremuldkor (corpse)" 	'%' 	                -  	 0x8888aa 	 -        	 -  

# temporary, shouldn't be used
"tmp_first_aid"        	 "fake aid station"     	 'F' 	                        -  	 0x000000 	0x008c00  	nay  	 - 	10
